name,cnpj,cep,state,city,address,industry_sector,enterprise_type,user_id
AZEVEDO E TRAVASSOS ENGENHARIA LTDA,57.259.392/0001-25,02955-080,SP,Sâo Paulo,"RUA VICENTE ANTONIO DE OLIVEIRA, 1050",O&M,B,42
B G S COMERCIO E LOCAÇÃO DE EQUIPAMENTOS LTDA - ME,19.352.123/0001-10,27930-190,RJ,Macaé,"RUA SATURNO, S/N/QD8 LT01/02",REVENDA,C,40
B G S COMERCIO E LOCAÇÃO DE EQUIPAMENTOS LTDA - ME,19.352.123/0001-10,27930-190,RJ,Macaé,"RUA SATURNO, S/N/QD8 LT01/02",Revenda,C,74
B3 BOAT INDUSTRIA DE EMBARCAÇÕES LTDA,05.232.089/0001-35,43700-000,BA,Simões Filho,"VIA PERIFERICA I, 4442",Naval,,70
BAHIA JATO ANTICORROSAO E MECANICA LTDA,13.479.902/0001-02,40810-010,BA,Salvador,"ESTRADA BASE NAVAL DE ARATU, S/N/KM 6",O&M,C,41
BAKER HUGHES DO BRASIL LTDA,42.087.254/0014-53,27932-355,RJ ,Macaé,"Estr Piloto Rommel Oliveira Garcia, 1600 -BELA VISTA-ARE - - Imboassica ",Óleo e Gás (Offshore),B,73
Bambui Bioenergia,,,MG,Bambuí,,Açúcar e alcool,b,61
BARCAS S A TRANSPORTES MARÍTIMOS - RJ,33.644.865/0001-40,20010-010,RJ,Rio de Janeiro,"PRACA QUINZE DE NOVEMBRO, 21/SOBRADO",Naval,A+,48
BARCAS S/A - TRANSPORTES MARITIMOS - Macaé,33.644.865/0003-01,24040-260,RJ,Niterói,"RUA MIGUEL DE LEMOS, 53",Naval,,48
BARRAGEM PEDRA FURADA,,,PE,,,Energia (Hidro),,46
BASE NAVAL VAL DE CÃES ,00.394.502/0396-01,66115-300,PA,Belém,"ROD. ARTHUR BERNARDES, KM 4, S/N VAL DE CAES",Naval,C,94
BASF - Camaçari l,48.539.407/0072-02,,BA,Camaçari,,Química,A+,70
BASF - Camaçari ll,48.539.407/0072-01,42810-020,BA,Camaçari,"RUA BENZENO, 779",Química,A,70
BASF - Camaçari lll,48.539.407/0072-03,,BA,Camaçari,,Química,A,70
BASF - Camaçari IV,48.539.407/0072-04,,BA,Camaçari,,Química,A,70
BASF - Guaratinguetá,48.539.407/0002-07,12521-140,SP,Guaratinguetá,"AVENIDA BRASIL, 791",Química,A,50
BASF - Jacareí,48.539.407/0092-55,12335-010,SP,Jacareí,"EST DO RIO ABAIXO, ROD PRESIDENTE DUTRA, S/N/KM 161",Química,A,50
BASF - São Bernardo do Campo,48.539.407/0073-92,09844-100,SP,São Bernardo do Campo,"AVENIDA ANGELO DEMARCHI, 123",Química,A,42
BASF - São Paulo,48.539.407/0035-67,03210-001,SP,Sâo Paulo,"RUA COSTA BARROS, 3089",Química,A,42
BATERIAS MOURA,,,PE,,,Química,,46
BCH ENERGY DO BRASIL SERVICOS DE PETROLEO LTDA,07.989.725/0001-01,20031-170,RJ,Rio de Janeiro,"AVENIDA REPUBLICA DO CHILE, 230",Óleo e Gás (Offshore),A,74
Belgo Mineira,,,MG,Itaúna,,siderurgia,b,61
Belocal,,,MG,Arcos,,mineração,A+,61
Belocal Lhoist ,,,MG,São José da Lapa,,mineração,b,61
BELOV ENGENHARIA LTDA,15.630.064/0007-39,25947-040,RJ,Guapimirim,"EST MARTHA ALCANTARA FARES, 3000/LOTE 40",Óleo e Gás (Offshore),A,40
BELOV ENGENHARIA LTDA,15.630.064/0007-39,25947-040,RJ,Guapimirim,"EST MARTHA ALCANTARA FARES, 3000/LOTE 40",Óleo e Gás (Offshore),A,40
BENTLY DO BRASIL LTDA,01.128.902/0002-51,13064-654,SP,Campinas,"RD. JORNALISTA FRANCISCO AGUIRRE PROENÇA, S/N/KM 3,8",Química,B,104
BETANIA LACTEOS S/A.,10.483.444/0035-28,49680-000,SE,Nossa Senhora da Glória,"RUA SITIO ALTO DA GLORIA, S/N",Alimentos e Bebidas,B,88
BHM DIESEL LIMITADA,00.210.027/0001-09,30190-110,MG,Belo Horizonte,,O&M,c,61
BHR- INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA,21.355.903/0001-65,57160-000,AL,Marechal Deodoro,"MULTIFABRIL IND. JOSE APRIGIO VILELA, S/N",Química,C,78
BIANCHINI S/A INDUSTRIA COMERCIO E AGRICULTURA,87.548.020/0002-60,92323-890,RS,Canoas,"RUA ANTONIO JOAO BIANCHINI, 1800",Química,F,71
BIANCOGRES,,,ES,,,,B,49
BIGNARDI - INDUSTRIA E COMERCIO DE PAPEIS E ARTEFATOS LTDA,61.192.522/0001-27,13211-771,SP,Jundiaí,"AVENIDA ANTONIO PINCINATO, 7600",Papel e Celulose,A,67
BIOFLEX AGROINDUSTRIAL S.A.,13.808.130/0002-88,57240-000,AL,São Miguel dos Campos,"FAZ SAO JOAO, S/N/A",Açúcar e alcool,,78
BIOOLEO - INDUSTRIAL E COMERCIAL S/A,08.892.216/0001-10,44097-324,BA,Feira de Santana,"AVENIDA DEPUTADO LUIS EDUARDO MAGALHAES, S/N",Química,B,70
BIOOLEO - INDUSTRIAL E COMERCIAL S/A,08.892.216/0001-10,44097-324,BA,Feira de Santana,"AVENIDA DEPUTADO LUIS EDUARDO MAGALHAES, S/N",Química,B,70
BIOOLEO - INDUSTRIAL E COMERCIAL S/A,08.892.216/0001-10,44097-324,BA,Feira de Santana,"AVENIDA DEPUTADO LUIS EDUARDO MAGALHAES, S/N",Química,B,70
